experiment,pair_num,typical_noun_modifier,typical_head_noun,freq_noun_modifier,freq_head_noun,prob_noun_modifier,prob_head_noun
1,1,human,ducks,140035,4654,0.864326775,0.983240223
1,2,peanut,writer,4690,32151,0.857142857,0.984417281
1,3,auto,flag,11785,12853,0.838099279,0.86283358
1,4,civilian,suggestion,13837,8017,0.810146708,0.989771735
1,5,criminal,grandmother,28609,16763,0.793736237,0.984370339
1,6,bowel,pillow,1329,5963,0.769751693,0.899379507
1,7,chemical,couch,21125,11576,0.741822485,0.938493435
1,8,plastic,athlete,30867,8957,0.73777821,0.908339846
1,9,carbon,soldier,15600,14835,0.729935897,0.923626559
1,10,silicon,farmer,5648,9143,0.725035411,0.955485071
1,11,drug,sailor,64518,3131,0.715908739,0.909613542
1,12,rubber,flavor,9073,11454,0.701201367,0.849834119
1,13,tourist,spade,7414,1130,0.697734017,0.897345133
1,14,lung,actor,5991,20053,0.690368887,0.960953473
1,15,emergency,tray,26216,5950,0.689006713,0.950084034
1,16,military,jar,119705,5597,0.679938181,0.920671788
1,17,web,prince,43115,17954,0.669790096,0.980728528
1,18,leather,argument,14715,29284,0.663812436,0.989618905
1,19,tax,twig,76422,903,0.657742535,0.84496124
1,20,immigrant,creator,9902,4858,0.652393456,0.974063401
1,21,kidney,crowd,4581,34320,0.647238594,0.912791375
1,22,health,hat,183880,19759,0.643452251,0.953540159
1,23,passenger,character,9878,42947,0.636262401,0.906582532
1,24,aluminum,finger,8040,21131,0.632462687,0.908759642
1,25,nylon,ear,2470,20464,0.630769231,0.850664582
1,26,railway,skirt,2412,8420,0.624792703,0.898456057
1,27,potato,hunter,8240,12360,0.621237864,0.919174757
1,28,cardboard,logic,4666,10631,0.609087012,0.930580378
1,29,metal,journalist,26984,10053,0.604728728,0.977817567
1,30,motor,plumber,14826,1006,0.603871577,0.976143141
1,31,tomato,blade,8530,9229,0.592497069,0.902047893
1,32,golf,clerk,26954,7081,0.5909327,0.980228781
1,33,diesel,advisor,3994,3003,0.586629945,0.965034965
1,34,cable,poem,19915,10594,0.580115491,0.983198037
1,35,banana,secretary,4462,47277,0.571716719,0.981343994
1,36,silk,exam,9183,5236,0.571273004,0.848930481
1,37,bronze,uncle,6216,22424,0.567084942,0.985105244
1,38,brick,wrist,8977,7814,0.564776651,0.865113898
1,39,brass,maid,6543,3867,0.56380865,0.908197569
1,40,soccer,hole,12485,27687,0.556748098,0.958283671
1,41,insect,girl,4179,64071,0.549653027,0.958748888
1,42,pet,texture,9459,6302,0.543926419,0.964931768
1,43,cotton,society,13979,89991,0.543028829,0.954573235
1,44,football,badge,35977,2928,0.541568224,0.921789617
1,45,computer,vest,63135,3197,0.537229746,0.94213325
1,46,associate,acoustics,14925,606,0.535678392,0.932343234
1,47,video,fork,57308,8203,0.533119285,0.92283311
1,48,rib,lamp,2405,6031,0.525987526,0.90714641
1,49,slave,level,8098,113008,0.523833045,0.934048917
1,50,iron,lawyer,19339,30674,0.523398314,0.969159549
1,51,basketball,plate,26040,22306,0.52296467,0.925625392
1,52,clam,manager,1070,41003,0.520560748,0.978025998
1,53,stem,beer,12640,23348,0.507911392,0.859217064
1,54,insurance,yard,44919,19395,0.503283688,0.849497293
1,55,linen,plane,3604,31411,0.50554939,0.896501226
1,56,wool,giants,5714,11534,0.502275114,0.903502688
1,57,ice,wallet,43299,5042,0.49816393,0.972233241
1,58,backup,bed,5797,68999,0.48456098,0.958144321
1,59,picnic,position,4770,78103,0.484067086,0.944585995
1,60,chocolate,letter,16052,45245,0.480999252,0.936147641
1,61,jazz,desk,13640,28545,0.466348974,0.914661061
1,62,gold,thunder,42161,4598,0.465762197,0.851674641
1,63,flower,motion,10639,20696,0.464423348,0.842819869
1,64,coal,device,10721,18372,0.462083761,0.941922491
1,65,net,theory,20726,46726,0.459133456,0.974596584
1,66,mountain,stranger,41090,10248,0.44823558,0.94028103
1,67,square,shrine,37556,3268,0.44530834,0.922888617
1,68,crystal,agency,9674,47138,0.435703949,0.903453689
1,69,college,mist,122156,4638,0.435623301,0.906425183
1,70,appliance,addition,1353,56958,0.430894309,0.997015345
1,71,apple,explosion,19467,10215,0.4249756,0.981008321
1,72,pancake,seat,1418,40675,0.417489422,0.893497234
1,73,ant,afternoon,2181,39907,0.414947272,0.878066505
1,74,chicken,boat,29668,30543,0.413239854,0.847035327
1,75,cooking,driver,23484,29471,0.407979901,0.950595501
1,76,pickle,gate,1036,15991,0.401544402,0.842161216
1,77,math,pocket,16307,21795,0.394922426,0.859738472
1,78,safety,pen,46775,9231,0.390978087,0.867403315
1,79,desert,corporation,20543,11691,0.384851288,0.950132581
1,80,garbage,equation,8661,7535,0.382288419,0.943065693
